Date,Open,High,Low,Close,Volume
2000-12-31,11501.8,11750.3,9651.68,10786.8,51609193302
2001-12-31,10790.9,11350,8062.34,10021.5,59742331167
2002-12-31,10021.7,10673.1,7197.49,8341.63,66317812477
2003-12-31,8342.38,10462.4,7416.64,10453.9,56051875981
2004-12-31,10452.7,10868.1,9708.4,10783,55496359490
2005-12-31,10783.8,10984.5,10000.5,10717.5,63577480621
2006-12-31,10718.3,12529.9,10661.2,12463.2,68379617660
2007-12-31,12459.5,14198.1,11939.6,13264.8,61485755093
2008-12-31,13261.8,13279.5,7449.38,8776.39,70008911908
2009-12-31,8772.25,10580.3,6469.95,10428,70573808160
2010-12-31,10430.7,11625,9614.32,11577.51,50853512954
2011-12-31,11577.43,12876,10404.49,12217.56,45464020186
2012-12-31,12221.19,13661.87,12035.09,13104.14,32815260772
2013-12-31,13104.3,16588.25,13104.3,16576.66,29847774043
2014-12-31,16572.17,18103.45,15340.69,17823.07,23406906447
2015-12-31,17823.07,18351.36,15370.33,17425.03,27568444106
2016-12-31,17405.48,19987.63,15450.56,19762.6,29536656031
2017-12-31,19872.86,24876.07,19677.94,24719.22,78121469023
2018-12-31,24809.35,26951.81,21712.53,23327.46,90202795741
2019-12-31,23058.61,28701.66,22638.41,28538.44,71206711673
2020-12-31,28639,30637.4707,18213.65039,30606.48,112039036426
2021-12-31,30627.5,32009.64063,29856.30078,31496.3,19937911864
